cust_num,date,inc_amt_usd
pcGZk+fFF96O77UctMGLgo+Vy6p4ylE50DIOXUV6Wl4=,2023-04-10,303.37
NOYsNf4d7fXjOHr2dnzt8KM7dQ7BKLxQHFPs67H7lmw=,2023-04-10,79.43
Vjb3np1KmUSg7E+o1cZsnhea693TsaLuTG3Xf7OYSvI=,2023-04-10,108.29
0hmqUwtnsoRbfr0YqrNbHsMHO1OkfucY22vReo0XJdI=,2023-04-10,84.89
ZeZ018Yj3TyOv14p4+mWZ+bhcXdw+hgZXaf66NPePWY=,2023-04-10,125.07
YMci36Cq943/g14biqGtFBIyOfn/adJI+bEERY4aThs=,2023-04-10,52.03
KcEi3sLNw3fRvaWLyW5/vuFcQ/HLnLQ5Bm0RAf7rQw8=,2023-04-10,237.24
zPWGpy5CNCgcR//94Vof7/nXODJ3mBpkcxRVBTBL6JQ=,2023-04-10,49.69
3zwkgq0ItGFQ9oR1wteVTC4cLefuMM/cD8mXrcpfFek=,2023-04-10,154.83
x6euXbZPH4dfq7UzwCJLIYPuYDL25RqMIMZHcglgGnQ=,2023-04-10,95.85
kUKLvCxs7/SWyq0kqUvjcd1/IRbuXigjZUUGG166/HM=,2023-04-10,123.93
73F1/QsLwyVVI9GQPYqwhOalK+HCfromV7JeRyoBIcs=,2023-04-10,44.95
PAF6mVNIgkaTShp7n3HJ2DucJzniPHEztX5NsfI2rQo=,2023-04-10,57.2
45f8Nh93KmOpYDvgkrp9ArXCp/7grS2e7LNfoIRe7hQ=,2023-04-10,104.56
CrJt6Gi1WyyDEsMnOJbBmwX8Z/KnTW9zWIUnTf4kZqI=,2023-04-10,76.32
4qrlbva6UGChXJ/+YLcFAXHBk9RcAjxKKTUj0ujGA6o=,2023-04-10,4.62
R6lJHzogzzYE/yFZ2wi8sB6KIOPjhH9ATOmlU+FUiPg=,2023-04-10,25.77
cuWng7s6/RQxUeGfUiDCKZ2WSEZblYRvbJF1JHFAK+k=,2023-12-22,48.85
0F7YXwSIe1CtRZh/EuEPY5++x5QTWvRp0YXv4Gr4Fg0=,2023-12-22,215.83
kATzhkxebsljqIaaDUZcF7itGZo3BZUN8eidw9ho9Jk=,2023-12-22,24.66
P2dW/n6LbEVgM0UaaVYgZEpO86tRXypXFVsui3TxYb4=,2023-12-22,384.97
Yx7eFwngtkvoIRpIbkgEjHdgf/eXmKEISWMJn8MlHRA=,2023-12-22,227.75
uTAwnSMIM3ht0Ke+VQzAv9kjvYGIoTPov2vgE5B7eF4=,2023-12-22,38.23
ccePFMXXgJPYUSnVHqk6GaBRdzWObNQJKb3Ejuv3RX4=,2023-12-22,91.12
P029aoeGZ2e0IcG7MzIdo6bKDVtI+8y0BYh4B04FLkE=,2023-12-22,58.05
hS1NGAKI5QuSiWlnwzfRwQNXbPMFrOtRs1CcpcWYpZE=,2023-12-22,254.57
nAss9ZUxZIXn5goya+mGW/WnjPd2wXRom4yWh3aOHk8=,2023-12-22,85.68
wNRZCFWJcxpajFqKL9rfr6o2iY7r4fVx1A0H2IPgIYY=,2023-12-22,81.97
equ1pd/2CQHnITy5ysL8ZY6ZYkBZXu2Tt+SoPzRXOGg=,2023-12-22,185.82
ywQlJJ768M3db/WufVFGPh44kaMf4rrEfzyg1z5Sys0=,2023-12-22,80.85
2Vx+gA7MjOY3+A61gSG2FEP2nJNM9zovEiYGsuIPKxQ=,2023-12-22,154.41
ci2WUzRDCv2fDNU4C4QbljZxSk0ALg0Pfv7YVqMDLzE=,2023-12-22,151.31
M5s69nn57tRbWKP0XQsV+nuhwaK9ioad0YHJvP648yY=,2023-12-22,257.28
IVRG6J/CleTs45UFwYANNajoLIkQk2m7ImubSggBcZo=,2023-12-22,43.8
eqKdurbfK0M6AZodx3GeK5yVBpFDS8aSmuu6pysFzXU=,2023-12-22,99.62
AUD68itz7QEbeBZF68ivuv2/7/6uXl0Cs0JzcChi3cA=,2023-12-22,60.29
42cLdOM/X+04svL0EKg0wE3LLvREDkd+F5teB+R5t/M=,2023-12-22,81.6
vxeSKCfbCY2sjoBf8X5cNSskvei0mQ418QBrJYbA25A=,2023-12-22,94.11
mlJZqXiObbISOXhFDOyauEh8wXX7hWLO1VcDGvzerS0=,2023-12-22,93.52
PkwiJPCvTrg3m4Etudp22Oy13CpZlzQbUAqtlcOf32E=,2023-12-22,136.34
mxe88+BfJHw7KoDQt4J/UM+vRy41rq8JCkApjMU8XCc=,2023-12-22,307.1
sWPl7tNvCi7km9JEIoiYI1ZJ7L5pafJoFryRDzm7ROY=,2023-12-22,76.56
FjqPS8Ru/g9dOz5moI5xKXCDJ1ydfDoIFhaY0nCU89E=,2023-12-22,55.12
R6lJHzogzzYE/yFZ2wi8sB6KIOPjhH9ATOmlU+FUiPg=,2023-12-22,40.01
89DrP5WDAZActpiJMgnXJMf808a5i193cTUufho4Cr4=,2023-12-22,131.44
srIgAAhGKoWEdW14BQusnszG1m1UvVAyLnVRzzxyGco=,2023-12-22,59.94
xjCVgYVVrWxiOU3bTNHxCMdQKKFSXfEA+JjGzA0KhWg=,2023-12-22,291.8
hbyG3VkL61eSYtDpTtqaQwvP5Uq0QU887zCyqqfjpx0=,2023-12-22,116.88
BkZzHzbkuhUsOw0qT+vi1UTz41YxZYY7qG08057TjcI=,2023-12-22,13.43
TEl4xA3lGs2OVrvtwo1oKFctRMFnEJnW4KBoubLv7Ug=,2023-12-22,108.93
0NGX/eAIe70h2Ti3NQdWDllCAwXXt3LV3STFZDlxbJ4=,2023-12-22,131.94
qBngYVomi2wG60WrdHQUh6dq9cgiI7VLXDmF+FbIRvo=,2023-12-22,29.24
T/Iyuv3Ue9DHV7O9YWPEKah5n4ywr4m+jAsBNMGRDX0=,2023-12-22,59.05
ahgIgao+MvJdRelSEdP316LRBPUIEJd6bQclzjQkZFE=,2023-12-22,19.94
3I16fejvhLs6HvnuRcwWGqcZmDJsj/XitZDjwsqux0s=,2023-12-22,32.02
mq+his/cFmK1ddbYntVrdH/jhkwHRmQLjg5MlZuLKIU=,2023-12-22,52.36
jnAmvyMV5y5KsIJ+TyiuEg3q9hV/SiqYe/CvOymti+I=,2023-12-22,99.15
0vhk7NU82Dx8BrGQ0npyUulLprb7kWUXf1qZoIi93cw=,2023-12-22,24.79
6njEwT/JiBJ7ieR1hbWU65E/OcqgKJ2F3uhDDuRec5E=,2023-12-22,87.18
HLdvaQBA//UKiSSzjWRUu0gSYtj8PIuYsii+qVNzDBA=,2023-12-22,33.22
s5Dg0Cb4bTbQNzs7dNBtZMrr3YJy+wRoGAjtWKHY1gc=,2023-12-22,54.8
F8ed+0L/L29NEQ5cFsemg3Jh9Yq4HbP/LhrQzaoCpdg=,2023-12-22,91.81
T0sYPd46pzlqPbwfX5VDogWAy5pFdQ0F1DhxJzDb41g=,2023-12-22,68.86
x/iGwVieq++T1Grg6tTpAxKEjRafviYIroHhi+xkKDw=,2023-12-22,286.35
YLWrThpBX5kc0GSy7eMifVVf71o3FB9ZSj4eAPkje8w=,2023-12-22,728.52
1vXm/mJ8+ot1Mzuo4iAMUtpLeFaw5YAbqfd8bx2cEYI=,2023-12-22,52.7
eyL0YdkwRo/xQ1agXa5HQD3hJQUh2SgSxuthIWYQYC4=,2023-12-22,85.71
q47fkklafLi4rCZv/Yop8fG9TWipdcpj/07GJOwGMp4=,2023-12-22,87.58
Qri7xNVmOgmHu+l3K3mu8PgP7jbYXCESz3vMfcM0MIo=,2023-12-22,50.36
dg/FTKMNeBdK2hbHoQ6NQzpE8FfDytH80Bbzte0YsB8=,2023-12-22,77.43
w2nek5IHioTm6Y0fMRQk+u+vFAPhQDe7PKqi31AxZ+g=,2023-12-22,206.22
CitMqLFADPGid5d98XfWTgC07aAxnAbUlXtIS1iL8E4=,2023-04-11,64.1
MH0aSVrfDVmjJzXKLBJaMAV6ZZcDhBTIaH8l/XgWW1U=,2023-04-11,33.76
QU4z5U2BjoW2yXcT1ciz9TD9slg8zZFnNnhRqRu/L2Q=,2023-04-11,167.48
vmrI2MmaMTgljJVnRi7AL7TZVEdocA+UTB35VQTbfXA=,2023-04-11,94.48
5YD0+XTejSI+gwVBDLVcM115cT7ylyuuRNGzXzzv5uE=,2023-04-11,45.79
hm0sBGSXHgMo++XkUCreAcFPne+r/MEIfEQZoXec+l0=,2023-04-11,145.65
m+hnfrtKz17pPpy2hZYhV241W/OhMRJeCJhFY6jp+Pw=,2023-04-11,75.28
IvU+PK0WUTn8cLRmYr/RXWHELkNHm5Mehn6lVJE/Q+Q=,2023-04-11,29.64
RfNKy5ZHlp9dcRClEyZmkCxElk3bU2eHOANs46V7VLY=,2023-04-11,65.06
U6GSKNYUBgYk7G8pRNyI/HzaLgATEQzEcNyTNaHObVU=,2023-04-11,40.74
+DXo1NbvcxCvcGqpaaVE3orT4rXOdY65y1DysN2+748=,2023-04-11,87.74
957xoQSeAQi/cFH0qUNFjrSCIZWDx3grvTEBB0wZTDo=,2023-04-11,209.74
ym5mQfK1gFJnuCpxSBenSou1Mm5RKBRdhM0IGm6rsy8=,2023-04-11,96.66
hbyG3VkL61eSYtDpTtqaQwvP5Uq0QU887zCyqqfjpx0=,2023-04-11,130.3
P28QWDiLJrndAmXLTQbuYKY+1+fRviI4yiPpnZBmsv4=,2023-04-11,26.18
t9f/v9OYA0lbotcl1xfO92cb1fybv/ej8slamxsbwiM=,2023-04-11,250.84
SdVwOnQDQ8sZl/rFYYN2lFefVJlCJjBOotAbLb81Eh0=,2023-04-11,125.11
ua45auNlczmZ3DZ3nF3TrR85bpz9xrT9IcI3s78HnoQ=,2023-04-11,59.28
dBEPmW5C1++EyoKhpNGpBkuH+IHLlIq/wuJCKhRQ6Q4=,2023-04-11,40.85
YMci36Cq943/g14biqGtFBIyOfn/adJI+bEERY4aThs=,2023-04-11,125.96
89DrP5WDAZActpiJMgnXJMf808a5i193cTUufho4Cr4=,2023-04-11,89.62
1Jj3/7yf+gcnq1eX8wGrSUZLlX1ux6LBbOUZn0VFhdw=,2023-04-11,81.2
WCirm33oiVYXfKor1nxa964j7g0CmoypCGh9f5eaVvk=,2023-04-11,80.22
t5jfrLLaH1dSipvTNgscfP2uP/IMxzuJ9jBj3QPXdas=,2023-04-11,31.8
+TmL7De8kNVFyxWVMEBk1lAoTIFq+XSh+z+qHcb0beg=,2023-04-11,81.15
2Vx+gA7MjOY3+A61gSG2FEP2nJNM9zovEiYGsuIPKxQ=,2023-12-23,222.14
P029aoeGZ2e0IcG7MzIdo6bKDVtI+8y0BYh4B04FLkE=,2023-12-23,52.53
hePFbwQh/Sls40Ef3I4PSXtkMexRoSmWylH/memPAT8=,2023-12-23,194.53
eXY0OkBtLpF7pUrQfG4DWPq8GbYqe7eFwncq6Ojde20=,2023-12-23,183.31
2c9WBwzDbsmUEM+AXuurrcsc+H0PLKNLVaV63hQ2fzg=,2023-12-23,195.39
dg/FTKMNeBdK2hbHoQ6NQzpE8FfDytH80Bbzte0YsB8=,2023-12-23,122.21
YxTMUX0v9LAbZjsEwQMdiaCuvgBeLOZy+pYDxN6q6bo=,2023-12-23,112.15
3uPnqLizLZjCREIdGw/fC4UdsP8zECLhjFjKZRo1ZCc=,2023-12-23,135.25
VUPC07DihpJqAARdg0A+F4P6h44V+EzqWSlIetXFGl0=,2023-12-23,41.61
v3l76YAorAv1yY/XFf15eBlL1eBQ70IjC/pkoPDDROs=,2023-12-23,86.63
HG1dflFf4iN7HUsCvuX45XKrSO3LKZuHpXm0F2SzT9U=,2023-12-23,34.18
srIgAAhGKoWEdW14BQusnszG1m1UvVAyLnVRzzxyGco=,2023-12-23,46.96
u7LFS0rD/ovh4xHyF01dZ10lsc4cIsRuF5iw17A3iOI=,2023-12-23,105.48
QRlsICiKm2xi14Q4tTBTzfdkhbGSFVvdDUmvLnpCdfM=,2023-12-23,30.86
wd8oPI+sTGv/e473PoAZtm/N44JC7OyV/gGrXsJk0lk=,2023-12-23,79.07
QU4z5U2BjoW2yXcT1ciz9TD9slg8zZFnNnhRqRu/L2Q=,2023-12-23,151.61
wL/uOayz9ZCrE/EVBsnj+B0d0qG1A4nlSVCc9vel1Gc=,2023-12-23,69.32
CkKFqlj/vfs9mjQ/wKCpgNlTShM3L8hAkvo5oqrEJg4=,2023-12-23,72.7
VsTSIqpvwC6CrFveV3rBBOQjuh5jlLZi/aS/YnKIumQ=,2023-12-23,13.85
fikQsUkPAIUcE81w1aShY0GgF3H8M7CzZiPubvnPlqE=,2023-12-23,33.1
icEFxWK3d/MyVMvpzddwY/vSNtXT4gMcGFK3q+cBy3k=,2023-12-23,199.94
qigrX0wdCjRUCckC02jlfP+gpSzFaoTr2aNY7CiX6xE=,2023-12-23,24.45
IVRG6J/CleTs45UFwYANNajoLIkQk2m7ImubSggBcZo=,2023-12-23,127.45
BEuJVooWy+hEo6LGIKC1Atjvu6rFgviZcMX73LYs1Wo=,2023-12-23,209.65
JN1XP/78Oq+aEBp9/KJDbW/LqlT8/FJyIbXPh3o94FM=,2023-12-23,68.54
p4uRkoj3AKYzPcbNqhhv6seQBx0xi7e6IQjkCfdAkcM=,2023-12-23,30.51
D/cdqABQiFEp10zggBKG84Xmu8jxNC6T1ytY8eTnD/E=,2023-12-23,116.34
eyL0YdkwRo/xQ1agXa5HQD3hJQUh2SgSxuthIWYQYC4=,2023-12-23,71.36
DKGw49RT34+Rvx63QfRvQacCQS3/3LIw0EejZIdHt04=,2023-12-23,48.23
T/Iyuv3Ue9DHV7O9YWPEKah5n4ywr4m+jAsBNMGRDX0=,2023-12-23,33.9
q5DwQQUH6g7ikXJwLyQ1PGST4q1Xf/vT1qHHFpYiIu8=,2023-12-23,73.35
oLcLnFVtQM4a2us1mzHmkQiT+w7rfEXsW8GLiYhnuII=,2023-12-23,127.09
i3G9hqcrm0bOEXM4QArMJuaBstpJ1YqiYqGS4oz8ODg=,2023-12-23,81.82
5wwmcu89VkkcnxxxsYcZtYG61wsZ9gw3uP5gZgpbBXU=,2023-04-12,64.69
YxTMUX0v9LAbZjsEwQMdiaCuvgBeLOZy+pYDxN6q6bo=,2023-04-12,100.97
yOOSZyqnrBcafeo+C7S5XPbtIPJZhtu/TlpCYXQE1cM=,2023-04-12,91.23
tyNjKnoib+eAFcO1kh0uKDyuUXph6kKR2N8mkJqNc0Q=,2023-04-12,3.8
acar/GnTUCmyi/P+wFiO5WtT6Yxe9psKoqQWq3Psuz0=,2023-04-12,129.84
AeetgpoY+yDv8bmt8tWVIbOHMH98He/Gv4WgdF6GTIU=,2023-04-12,61.48
/FKPmuEc1fEgghfm2YceGlS17bE63tiJXu9mhFYPe7M=,2023-04-12,64.49
ZeZ018Yj3TyOv14p4+mWZ+bhcXdw+hgZXaf66NPePWY=,2023-04-12,89.58
957xoQSeAQi/cFH0qUNFjrSCIZWDx3grvTEBB0wZTDo=,2023-04-12,145.39
1KhXiP11mo0G4CSz2GKuxCfOnYziut2ZIKWLuxyPesY=,2023-04-12,106.7
x6euXbZPH4dfq7UzwCJLIYPuYDL25RqMIMZHcglgGnQ=,2023-04-12,121.91
4qrlbva6UGChXJ/+YLcFAXHBk9RcAjxKKTUj0ujGA6o=,2023-04-12,10.05
E0RtnTnjE8COKbAmoLsD0nH1xzLDFnlA2+6nS3UwSAs=,2023-04-12,163.29
1dgFqyNjFH5N0a2rmcSUN4m4KXWqiwtW3gKad2kUm8w=,2023-04-12,88.71
wL/uOayz9ZCrE/EVBsnj+B0d0qG1A4nlSVCc9vel1Gc=,2023-04-12,8.7
tgEk1fXtG8nSiwYRDFdXuDU47KORzXO/OLQwrHwy4nU=,2023-04-12,12.57
WCirm33oiVYXfKor1nxa964j7g0CmoypCGh9f5eaVvk=,2023-04-12,36.79
Q8BFomOpI0poCumc7LT7xiwO6Szd0dNV/I8nJOf46Yc=,2023-04-12,18.37
rXjqlxlZMAYADDp7tdzNoXeK0PHHEorqCeHNAsVLsFA=,2023-04-12,64.13
YcV3lqsnLdnLbwi9rg3DGFT9OoElJ9MtXoz4RXNY5Nc=,2023-04-12,197.94
uH1bsJYEMxYCOCQDvEIXQAuqC+EU9pvaQCr6dfxMeWg=,2023-04-12,153.5
R6lJHzogzzYE/yFZ2wi8sB6KIOPjhH9ATOmlU+FUiPg=,2023-04-12,148.77
pI1qZA1LwoB0zM50n5MYv54N+yi0Jjbn+NF4u/71M+U=,2023-04-12,327.41
8oFsesuaoBersdTgI+w7NIHGXa6N5oXEaoT46t3Cdns=,2023-12-24,97.84
PLyE2bVnTIXtX4u+SX6wGKuCiYQHBX/ETyCZjj7xDto=,2023-12-24,80.37
kkWFni9xbUeUm3cIaXQ2xjaI4t/tXrOj32ZpJANCWwA=,2023-12-24,222.31
LvxOt7opp0eFyH8QehXXIIUtpq8+qrAfXQ5lB6KQSqw=,2023-12-24,102.73
SdVwOnQDQ8sZl/rFYYN2lFefVJlCJjBOotAbLb81Eh0=,2023-12-24,35.98
WnokDxjzU+bx6+eF4apXwHwub864OW37RtDf8nkv4IY=,2023-12-24,26.05
wL/uOayz9ZCrE/EVBsnj+B0d0qG1A4nlSVCc9vel1Gc=,2023-12-24,28.52
klOPENkDfoFg9FVTjX4Nh6Va7UfKmHZT+ueDnmeEbig=,2023-12-24,35.58
moGdPNpoGcXmU6pdRZa85mdVhKSjGNvgo5vxbNJ2uB0=,2023-12-24,73.93
L8tbxIUDTUrtyz1yhdllA3iJSbydH4AIdl9G+rCd/hE=,2023-12-24,46.09
F6EZNjdBdTclskERVaxiIkYjDepZRGTD/8E4HkyDXIo=,2023-12-24,328.12
YAtYOuvy+cFtPahJiTpyOUm/849+n+fllCY7dV6LB8I=,2023-12-24,43.02
IKl+q7JcA4/L2Aspci7/gR0jMGNQMw+5z6/zwf9BYaY=,2023-12-24,81.87
RSp0Y3S/1BfxRHWm0xteolPjRuT0NhTaC4BnSLzD6WA=,2023-12-24,52.42
447Nv9va6GSdReiaiPfOwPVc9e9vITchxfAyCPaKCfM=,2023-12-24,18.66
mctUOl4jGByfxEhjvg16uJc2mzVHgTkBNvJ6N+Z7iP4=,2023-12-24,128.0
NEIo2n7wSpnR/NLkxWOoyI0VEjrQ0haBsLUgp+sTTdM=,2023-12-24,110.15
8OP2HdtTa1hruU8SYQZfKGyqeopxDgy1G/ZXSlMuNxY=,2023-12-24,75.93
9l8wPaLuYwpEJRNtqayjsgXkWzOCfTcOzzhv1WH0Ohg=,2023-12-24,54.61
B98uBIGp/mF5CHE4+BIAnCN28RYsi3M2iTEJwBwER90=,2023-12-24,109.54
Uz++byLJ03lHIHSmufVHdIahshM0htw0BBFihcQ++6w=,2023-12-24,112.46
LCofqQ0RHRT85ppX6gVgji1WdenFz5eUkPvGdMV5n6Q=,2023-12-24,66.52
hm0sBGSXHgMo++XkUCreAcFPne+r/MEIfEQZoXec+l0=,2023-12-24,95.42
5Tw7m5w4yPFAMheP+RIQlYYXGrLqV1IAgwoaYThv6c4=,2023-12-24,228.62
XjKdvsEin66xvw6l5PCQiuVVZBRvyyEm8Sbk3LAO/sg=,2023-12-24,561.56
ufdV+JH0CmID3sio/AFYGKAgIPMqWUDs9MYkSuzY9ig=,2023-12-24,117.06
0fmfAuyHgn57Uj6VJ3gG+MzGAWe1n3XRhr5ubumZi8s=,2023-12-24,29.18
P6bDcCXrF7T87FAmNwt4TmhIpJ5u3GH4RJLvm3vUBw0=,2023-12-24,519.91
bp2RXkWuI3OIg3hW/FIKIgJodUwnHuXoyCrMk8gGFek=,2023-12-24,87.71
RJUG6iMS6lCAQC1MtTEnSLupc6Ylrj9pHXNIeekbLfk=,2023-12-24,131.33
zXm3HDSh6//c8ICuS4s9GxgwrraNEmsWWsoLbIWmE4Y=,2023-12-24,59.33
V8SAJyADktFfQ2ICh34Na45SYDy8GBZFoI1Ltvby7yk=,2023-12-24,60.42
o6dVwZCSIjUKiNd+pQ5a4G+1/Qys/RQ4/t2lpIYc3EY=,2023-12-24,147.77
QemnfrGc/un0pMXzFMXcYqNJzUCPAA837PgVFZ++iHc=,2023-12-24,67.64
sWPl7tNvCi7km9JEIoiYI1ZJ7L5pafJoFryRDzm7ROY=,2023-12-24,274.39
grWzQlCHfL3zwx/1jxm1FGxyTggHvxUeWWU3Mg5oXdQ=,2023-12-24,48.32
t6oT56i2LoWYRyw7+0iGN93zicGYwzMPIt9VwkZlcfg=,2023-12-24,122.12
BQaJap8f7dMmDmPvBv4h9NVnfYcs9LdTI5sckKeiv3Y=,2023-12-24,41.56
XQuf+z3lRL+SWe+vKEvaY+Wb6SL9cjm0isWmTNIcx8s=,2023-12-24,50.74
7Ek/wcchNwaar41H0qRbpe39HYUw38M+doNCdrAVt34=,2023-12-24,74.41
1scpa4nD0OvolmIjkSvI/0kxEn2XI9Ym1LrjtzPXoac=,2023-12-24,103.45
yXSkVjuBAVpynVj1EjRUX8TXru4vFM/8LNen1SuKzAQ=,2023-12-24,18.71
qQke80K9Bz3Hf0KfThsqdvccUPlRj8/Pyc9REx2AwK0=,2023-12-24,88.8
Ae+RJfro6Vgi7oZyoYy/GyYZeLwdQOx2b9r5Q/wybvg=,2023-12-24,124.35
vxeSKCfbCY2sjoBf8X5cNSskvei0mQ418QBrJYbA25A=,2023-12-24,239.42
2UgXilQhWC/f+KJWCP6FOHZ6uv+jUo/8XSWYSUOt2p8=,2023-12-24,137.57
5jSiWiqLw/0iQ8e+2ANHDt3ifuIqcCOWpK5UwjZqpZY=,2023-12-24,98.64
xA9CFy34upOb5JWdlIZ+by3MjLuUuZ/tKHU6V42oaQk=,2023-12-24,205.23
79gzfZ5GEcfO1gWotyarlGw+1ixTBc6ZRxFQnLQG1E0=,2023-12-24,15.77
j5g9z8ODwvd9AMq0F1SIJudySxmWS4KgzvbF2rQf6dw=,2023-12-24,44.79
uRjjsxyNRQQ/hF7Fu0MG9fzeIW+Iy7sUAjl3F8XgrxM=,2023-12-24,38.43
73F1/QsLwyVVI9GQPYqwhOalK+HCfromV7JeRyoBIcs=,2023-12-24,83.8
ia7w9aCBKNBng/WBrFlyltFNwr74+z2E4IJ7G2mjKD8=,2023-12-24,28.29
DoeH58y6/AfU3b/z170Q5BXWoEoXy4rpnE4yy6WyJ/4=,2023-12-24,430.88
VUPC07DihpJqAARdg0A+F4P6h44V+EzqWSlIetXFGl0=,2023-12-24,71.75
Fea/TVfaY6AHl8068xkUmtKA5M98XV7+NrCmu7zkwtk=,2023-12-24,77.88
vwLugU9k5FMsm+U6I/CTckBPCFvk93NqkaOuH89stAA=,2023-12-24,112.63
+q9OKQAHltumVbr/4Z4h5yvkrThLa2pKGTxA4FJ9Dcg=,2023-12-24,32.77
lnpd9SmK1ukV9fOK4YvFJpUqW2jHOgTHyRdVDyj4L1c=,2023-12-24,97.08
cxOYgtz+s6dPNqbzclyeKxryRn+U/PJuZVxEe8eZSu0=,2023-12-24,101.09
hrnB835nBJQ3ZZJmQcEj4oZWs9DmuGINjb5tf/QHI9s=,2023-12-24,197.43
5T7sBixEK/g8hpXdrL+OxTk5VQAYxDGTktWCsKLvpQg=,2023-12-24,30.95
AeetgpoY+yDv8bmt8tWVIbOHMH98He/Gv4WgdF6GTIU=,2023-12-24,65.94
5m1wXIa/oKQW04sr6rRm2F5+t+7TkGCEWA4FjndM3cc=,2023-12-24,75.65
hbyG3VkL61eSYtDpTtqaQwvP5Uq0QU887zCyqqfjpx0=,2023-12-24,58.5
8pTmV4U1OGHjRbZMq9u807158YJqQXAV1KBgbt4Uazc=,2023-12-24,122.75
nByx6M5FdxQ0s2Dn3/oEkfxWRaHrY3n9drS9bxqKKdM=,2023-12-24,45.88
NgdThJYIbl2t95LKZg43fRK5CdSO1/OKwqTy6mHwQA0=,2023-12-24,152.39
0rgZp08JXygO/lmCHcp1T9Z9QxG7E9Z7YH2ljqTDmJc=,2023-12-24,24.62
pwxY5dcgmhccVyM7ndgjBeZad/7XSAOfl90MkSexNLg=,2023-12-24,159.35
MRbKMz39bDqAME+go4bNPcJcyqWOq7G1PqyGa1K7woc=,2023-12-24,245.28
0AW6ArE1j/l+5SLZogu422MI6zzZFbW+QOswZs/zck0=,2023-12-24,80.74
YYeCiUGwVnLvD+r5NXq8CSAJs1dOVOkC9KmTp8BVL+M=,2023-12-24,71.03
YqiiRGUgA7n5whfhWxj9Po7+VaFLywZU5u5IdxZGc3A=,2023-12-24,61.06
3uPnqLizLZjCREIdGw/fC4UdsP8zECLhjFjKZRo1ZCc=,2023-12-24,45.54
CkKFqlj/vfs9mjQ/wKCpgNlTShM3L8hAkvo5oqrEJg4=,2023-12-24,15.24
sXjdYYOV7MHP3MZYGDwmAjAO1o1tvUHqOMJFeZs4h9E=,2023-12-24,29.84
XxFJIHpua6t65zVj3YlmR9UTLmgPl5g/gPeiqY0/PaI=,2023-12-24,145.72
1fkk1AY0WKSYaV4/qfvF83MrTGSgknM7of77kVraAuo=,2023-12-24,164.65
zvEZLlpqqpjNPYD8c59YLURwVYHoLRiol1ZnQsMu7Vo=,2023-12-24,131.9
8oHYVNXYVASYh75efWuofWK6D6XOoKJIoXRbBQ6ZeaQ=,2023-12-24,127.8
cl46+1gYnRlw9PzJRgZz7i4i0F771HpKpVvFi0oVY50=,2023-12-24,13.64
3cwRMcmVGcBdT1nlRppQGbIM0ChBf7sPGiKaEPGlPyE=,2023-12-24,45.11
R/U7O2h5m2ea5pozgyaQOPZUy0zaXD2kHgWZedXSfEY=,2023-12-24,33.05
